Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,17.4375,17.5,16.625,16.625,10.33143138885498,64600
2000-01-04,16.625,16.625,15.625,15.875,9.8653564453125,81900
2000-01-05,15.75,15.75,15.0,15.75,9.787676811218262,38100
2000-01-06,15.75,16.25,15.75,16.0,9.943032264709473,41200
2000-01-07,15.875,16.25,15.75,15.875,9.8653564453125,34700
2000-01-10,16.5,16.5,16.0,16.0,9.943032264709473,94200
2000-01-11,16.125,16.875,16.0,16.4375,10.21491527557373,39700
2000-01-12,16.5,17.125,16.5,17.125,10.642160415649414,25100
2000-01-13,17.25,17.5,16.875,16.9375,10.525635719299316,62000
2000-01-14,17.0,17.75,16.875,17.5,10.87519645690918,183100
2000-01-18,17.75,18.25,17.75,18.0,11.185914039611816,77300
2000-01-19,18.0,18.375,17.9375,18.25,11.341276168823242,34500
2000-01-20,18.25,18.25,17.375,17.5,10.87519645690918,42200
2000-01-21,17.4375,17.5,17.25,17.375,10.797513961791992,16000
2000-01-24,17.5,17.5,17.0,17.125,10.642160415649414,10700
2000-01-25,17.125,17.5,17.0625,17.25,10.719833374023438,19200
2000-01-26,17.25,17.5,17.25,17.4375,10.83635425567627,16600
2000-01-27,17.4375,18.0,17.4375,17.5,10.87519645690918,33600
2000-01-28,17.625,17.625,17.3125,17.375,10.797513961791992,3900
2000-01-31,17.125,17.5,17.125,17.5,10.87519645690918,53900
2000-02-01,17.375,17.75,17.375,17.75,11.030559539794922,15400
2000-02-02,18.0,18.125,17.875,17.9375,11.147077560424805,92700
2000-02-03,18.0625,18.125,17.9375,18.0,11.185914039611816,35200
2000-02-04,18.125,18.5625,18.125,18.4375,11.457792282104492,51500
2000-02-07,18.4375,18.5625,18.375,18.5,11.496633529663086,25200
2000-02-08,18.5,18.875,18.5,18.5625,11.535479545593262,45300
2000-02-09,18.75,18.75,18.375,18.375,11.418957710266113,9100
2000-02-10,18.5,18.5,17.875,17.875,11.108233451843262,9700
2000-02-11,17.875,18.0,17.875,17.9375,11.147077560424805,24700
2000-02-14,18.0625,18.0625,17.875,18.0,11.185914039611816,7100
2000-02-15,17.875,18.0,17.875,17.875,11.108233451843262,4900
2000-02-16,17.875,18.5,17.875,18.5,11.496633529663086,69000
2000-02-17,18.5,18.6875,18.3125,18.375,11.418957710266113,28100
2000-02-18,18.375,18.5625,18.375,18.5,11.496633529663086,5000
